Fecha,Invernadero,Temperatura,Humedad,CO2,N,P,K,Conductividad,Humedad_Suelo,pH,Luz_Ambiental
2024-10-03 22:26:24.268435,Invernadero_1,12.77,18.43,19.99,25.75,12.16,28.25,11.2,12.09,11.69,18.14
2024-10-03 22:26:24.268435,Invernadero_2,25.41,23.14,21.3,26.48,14.99,25.49,20.41,22.09,14.76,29.04
2024-10-03 22:26:24.268435,Invernadero_3,14.24,19.8,28.7,17.0,18.56,19.12,14.29,24.19,26.04,18.91
2024-10-03 22:26:24.268435,Invernadero_4,16.4,15.7,29.05,29.66,18.65,21.65,21.52,30.0,20.84,25.81
2024-10-04 02:26:24.268435,Invernadero_1,15.71,14.19,20.4,17.74,25.0,14.7,15.07,29.81,20.18,15.42
2024-10-04 02:26:24.268435,Invernadero_2,29.29,13.88,13.19,20.18,19.98,10.72,29.86,12.36,10.94,27.87
2024-10-04 02:26:24.268435,Invernadero_3,16.2,14.96,22.05,18.29,21.66,11.53,14.23,13.22,22.85,10.23
2024-10-04 02:26:24.268435,Invernadero_4,10.9,15.46,22.1,29.8,24.66,26.53,20.38,29.11,14.93,18.41
2024-10-04 06:26:24.268435,Invernadero_1,16.34,28.66,28.64,29.12,15.73,15.19,26.56,13.16,15.07,26.52
2024-10-04 06:26:24.268435,Invernadero_2,12.11,27.54,29.03,25.39,27.39,25.48,24.32,15.52,15.69,11.23
2024-10-04 06:26:24.268435,Invernadero_3,16.5,26.23,21.2,25.32,21.77,29.52,23.51,21.81,19.54,15.82
2024-10-04 06:26:24.268435,Invernadero_4,16.6,22.86,11.94,19.35,20.25,21.0,15.38,29.05,25.8,15.37
2024-10-04 10:26:24.268435,Invernadero_1,12.12,13.46,11.37,23.35,21.31,25.4,11.39,24.04,16.01,23.41
2024-10-04 10:26:24.268435,Invernadero_2,29.48,13.26,17.96,18.98,23.9,12.7,27.86,12.23,26.85,22.54
2024-10-04 10:26:24.268435,Invernadero_3,15.37,24.47,10.77,11.91,20.55,24.81,23.77,14.98,10.9,19.83
2024-10-04 10:26:24.268435,Invernadero_4,27.32,13.79,21.64,14.87,20.12,22.9,25.98,29.22,23.54,23.6
2024-10-04 14:26:24.268435,Invernadero_1,24.22,23.7,23.44,28.1,24.49,11.62,13.12,22.77,20.89,14.87
2024-10-04 14:26:24.268435,Invernadero_2,21.77,13.12,17.56,29.52,23.67,15.08,15.4,14.59,21.95,25.06
2024-10-04 14:26:24.268435,Invernadero_3,12.43,21.45,10.75,24.41,10.8,12.55,17.67,25.24,14.58,16.38
2024-10-04 14:26:24.268435,Invernadero_4,22.44,12.69,29.93,26.6,12.28,24.69,12.95,14.04,28.75,19.49
2024-10-04 18:26:24.268435,Invernadero_1,29.9,27.85,28.03,11.04,29.31,15.89,19.45,21.71,28.62,14.26
2024-10-04 18:26:24.268435,Invernadero_2,22.26,20.23,11.41,29.13,26.65,10.83,22.36,11.07,17.7,25.52
2024-10-04 18:26:24.268435,Invernadero_3,18.95,22.82,16.83,19.07,26.86,15.17,29.05,29.41,25.18,27.65
2024-10-04 18:26:24.268435,Invernadero_4,11.52,19.31,20.43,27.5,15.58,12.83,18.18,22.56,10.12,11.73
2024-10-04 22:26:24.268435,Invernadero_1,16.33,15.0,24.77,25.82,24.98,18.65,14.19,15.8,12.85,10.87
2024-10-04 22:26:24.268435,Invernadero_2,14.71,19.87,17.75,23.26,20.69,20.24,21.72,20.23,29.66,17.39
2024-10-04 22:26:24.268435,Invernadero_3,11.0,17.94,20.69,12.13,24.83,13.69,26.17,23.81,22.01,19.04
2024-10-04 22:26:24.268435,Invernadero_4,23.11,28.45,13.36,25.79,20.48,19.48,19.46,14.98,22.35,27.21
2024-10-05 02:26:24.268435,Invernadero_1,14.27,11.76,24.69,10.81,23.52,21.55,17.93,19.58,23.81,10.03
2024-10-05 02:26:24.268435,Invernadero_2,27.84,24.2,23.64,12.59,29.49,11.6,23.08,26.38,27.52,18.48
2024-10-05 02:26:24.268435,Invernadero_3,17.3,18.56,20.77,22.8,11.18,18.08,29.33,27.43,14.81,28.16
2024-10-05 02:26:24.268435,Invernadero_4,25.12,23.01,19.05,10.5,29.83,16.53,16.77,24.75,24.0,16.84
2024-10-05 06:26:24.268435,Invernadero_1,29.09,26.55,15.84,20.54,13.48,26.5,22.24,12.58,22.92,23.48
2024-10-05 06:26:24.268435,Invernadero_2,23.41,22.58,11.62,13.25,10.3,28.04,14.97,21.67,17.62,18.13
2024-10-05 06:26:24.268435,Invernadero_3,22.05,20.32,24.27,22.33,22.1,14.07,29.94,25.8,21.45,16.5
2024-10-05 06:26:24.268435,Invernadero_4,22.98,14.36,22.72,26.49,11.29,21.11,26.02,24.6,12.3,27.12
2024-10-05 10:26:24.268435,Invernadero_1,20.92,29.93,10.19,22.17,11.11,27.22,26.4,22.37,19.98,12.8
2024-10-05 10:26:24.268435,Invernadero_2,25.45,26.73,25.16,12.12,29.32,20.31,10.31,17.26,12.15,17.07
2024-10-05 10:26:24.268435,Invernadero_3,11.96,12.05,11.25,10.92,14.76,20.56,14.6,16.2,15.09,11.08
2024-10-05 10:26:24.268435,Invernadero_4,16.82,17.59,27.76,12.79,27.97,15.35,10.77,15.37,24.34,11.18
2024-10-05 14:26:24.268435,Invernadero_1,22.06,11.71,11.3,19.88,23.63,25.18,28.57,19.1,24.24,18.35
2024-10-05 14:26:24.268435,Invernadero_2,18.16,27.23,13.46,20.7,11.59,21.25,22.33,27.68,29.61,21.23
2024-10-05 14:26:24.268435,Invernadero_3,27.28,29.57,26.53,14.31,17.94,13.54,14.73,12.24,26.07,21.47
2024-10-05 14:26:24.268435,Invernadero_4,29.21,18.03,15.71,17.55,23.84,26.99,22.0,15.17,25.17,25.06
